"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"hells",8.68303175779514e-07,0.110679395637784,0.35403377555256,0.408113550462117,0.344360110915584,0.25796554661599,0.185150246051402,0.131518974114827,0.0937978964327793,0.067592585605709
"helz",5.00268857935693e-08,0.0987396483544498,0.615170715322859,0.840090765052747,0.744937771522083,0.568170510900724,0.41078949055498,0.292686470141231,0.208973932517756,0.150619799273158
"helz2",3.16413988129018e-07,0.0754530440604225,0.444847655209197,0.606238718447435,0.539521724361079,0.413843085344188,0.301014883055943,0.215693105610221,0.154794464843509,0.112080453864083
"hemk1",8.62449874983274e-07,0.139268188078145,0.578936432344763,0.71883482373179,0.618406425834617,0.465859214542135,0.334816655395301,0.23779675910819,0.169473128226558,0.122014880796075
"herc1",3.82231202034455e-07,0.114127334084151,0.696832860076102,0.970235649917572,0.875215961638175,0.676581858300309,0.494381596774448,0.355247755058088,0.255404617347897,0.185146469628324
"herc2",4.44783242361951e-08,0.0891099384345903,0.66892510878269,0.970547049246688,0.886643972907134,0.688987930654274,0.504723254331934,0.363173924933373,0.261306465736369,0.189511497512159
"herc3",2.06137691920128e-07,0.0816609619616194,0.333390396197014,0.435905795871801,0.411745855328566,0.338362112632185,0.261249256002411,0.196598658563366,0.146851281705775,0.109891562928457
"herc4",5.60219147761172e-07,0.143832190222174,0.767408076761557,1.01855340452352,0.897974078483301,0.685567859746314,0.49726601930485,0.355666893719228,0.254925141549936,0.184412471518464
"herc6",2.72357729851974e-08,0.0644381015910204,0.391581768721418,0.518435236651328,0.453296983226468,0.343666711615593,0.247864359844455,0.176456715271584,0.12598053917424,0.0908302842597792
"herpud1",9.55233214287902e-07,0.181880323562088,1.0829467967394,1.52011383035385,1.3912641896037,1.08945900521396,0.804401342083028,0.582844134840687,0.421852605936795,0.307487605444781
"herpud2",4.61173149860801e-07,0.124005811248443,0.658263232831119,0.936801868971389,0.869093849103423,0.686758393756471,0.510238498298063,0.371373837744365,0.269710786660748,0.197115279364436
"hes1",5.56728457041867e-08,0.0871833410271029,0.64724294667204,0.939057120502329,0.853925952624176,0.660079883626378,0.481248222964702,0.344875554835956,0.247290158987252,0.178826962625252
"hes6",3.08497514687521e-06,0.0941990223991432,0.582796172852305,0.832256229306483,0.759362024209682,0.590591570317764,0.433116212567121,0.311955448957796,0.224639862884089,0.163031014663206
"hexa",3.24114737178387e-07,0.0752115189258393,0.382280700194596,0.506038259904507,0.44854832125141,0.34395031357438,0.250157477026253,0.179197851842243,0.128540502419043,0.0930152026149565
"hexb",1.56007025201078e-08,0.0374173573272625,0.299024505795658,0.457141558349575,0.429579771121893,0.339265410394507,0.251047771237731,0.181856051966919,0.131463120475007,0.0956713015968943
"hexdc",1.80603965472565e-09,0.0372765218112433,0.305484168567894,0.440433585674876,0.397330177877326,0.305360539745493,0.221696652216023,0.158371547213746,0.113279057457602,0.0817553296687328
"hexim1",8.144262485587e-08,0.163500255849864,1.08882499426829,1.51664676740631,1.36395550258029,1.05256955786436,0.76849435365873,0.552040924112005,0.396861639665163,0.28770746017995
"hfe",6.07578691592243e-07,0.12276708962192,0.623521527387852,0.870668435895743,0.793537396276757,0.617873070059315,0.453643137836599,0.327035313435202,0.235660268806237,0.171118177233737
"hfe2",4.25619678338811e-08,0.139246755936259,0.978060326396743,1.3781506936689,1.23893061597564,0.952676237848069,0.69266713806249,0.49559250320822,0.355004142964798,0.256547705201765
