"","gene","observed_stat","p_value","q_value","significant","direction","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"eef2","eef2",1452.87412321277,0,0,TRUE,"CV-enriched",5.81757859240674e-06,4.61693485225768,34.8947091112032,49.2620599099368,43.950895029629,33.5380533420037,24.2280031265578,17.243784777823,12.2990618516447,8.8564848690617
"erbb3","erbb3",135.975833596661,0,0,TRUE,"CV-enriched",4.42489060298441e-07,1.54329560537153,10.9580484862106,14.9329985488471,13.0397027623581,9.80790020964683,7.01233971410392,4.95217501171064,3.51072642951138,2.51576610167791
"f10","f10",611.878887303055,0,0,TRUE,"CV-enriched",6.15000323542297e-06,3.09877891039137,22.7594989832697,32.0034957056762,28.5183712177423,21.7488174412946,15.7054130909785,11.1748594578481,7.96864742940264,5.73712182333486
"f13b","f13b",314.183489487719,0,0,TRUE,"CV-enriched",7.27168489411647e-07,2.08883476753236,16.1413751123312,22.9044798219743,20.4738361618285,15.6364373866102,11.3005510554427,8.04468533136669,5.73849351417261,4.13249280341995
"f2","f2",1222.59401790746,0,0,TRUE,"CV-enriched",8.03125350681552e-06,4.54180484121694,32.4503684409751,45.2085854205689,40.1467808106784,30.5742932848043,22.0662065604814,15.6978604507751,11.1938690722469,8.0598008880599
"fam20c","fam20c",66.3184204860266,0,0,TRUE,"CV-enriched",4.44068904415339e-07,1.03866996647133,7.58326264525578,10.4535513866974,9.18623315660356,6.93785585581866,4.97472943727129,3.52081033592087,2.50020162047415,1.79404930171855
"gars","gars",6.92794081251445,0,0,TRUE,"CV-enriched",4.40637192010505e-08,0.33735510879111,2.46530149266185,3.36229649198397,2.93257753431039,2.20346658873743,1.57420108058029,1.11109578068258,0.787362223833328,0.564045490332377
"gbf1","gbf1",72.2958408880082,0,0,TRUE,"CV-enriched",1.92166199808312e-07,1.04750207995998,7.86498655842266,10.9180801745577,9.62631921788276,7.28466249973122,5.23035857052562,3.70527348032968,2.63309345036136,1.89047396320259
"gck","gck",137.796477105358,0,0,TRUE,"CV-enriched",1.10420446248943e-06,1.50191948479567,10.8859318484385,15.1332468230552,13.3820128774722,10.1505143763944,7.30090284664502,5.17905352696927,3.68428755443564,2.64742346708796
"glul","glul",19.6653498642369,0,0,TRUE,"CV-enriched",9.8199947125803e-06,0.807942238260958,4.4393647949078,5.66455956186778,4.81065560433738,3.56567230560932,2.52702167817911,1.77438794117744,1.25290769354732,0.895229946907652
"gm12909","gm12909",14.3954124296615,0,0,TRUE,"CV-enriched",1.34847422481808e-07,0.51681396694971,3.59442825272632,4.84535130989186,4.20603786463116,3.15224607135215,2.24841560201606,1.5852062633216,1.12241545262875,0.803562191585766
"gm42418","gm42418",323.44149229576,0,0,TRUE,"CV-enriched",6.27253672287196e-06,2.35571614286095,16.6910666533356,23.2744249618433,20.6728214017571,15.7410298104712,11.3573633557679,8.07704241019234,5.75783598748374,4.14458538100127
"gtf2h4","gtf2h4",7.41605158347713,0,0,TRUE,"CV-enriched",2.09408963406806e-07,0.414281386436998,2.64299985395061,3.46046281293289,2.95945771106559,2.19766286934044,1.55767420050198,1.0931503075757,0.771279836150149,0.550633158404326
"gulo","gulo",139.83358872985,0,0,TRUE,"CV-enriched",3.17707444489874e-06,1.58283840523752,11.0787991641858,15.2281805959749,13.3997758608165,10.1379048815401,7.2808317046793,5.15983411873621,3.66820750762357,2.63463585413959
"hdac4","hdac4",3.74313037154351,0,0,TRUE,"CV-enriched",1.93457870146556e-07,0.359767345866471,1.97334014517134,2.40469570945979,1.97742521556783,1.43322830048796,0.999380077067099,0.693176225010021,0.484792693122132,0.343746486448863
"hira","hira",5.54019025373877,0,0,TRUE,"CV-enriched",8.45024686773872e-08,0.321414108023879,2.23583544284388,2.99771018054848,2.59127202030591,1.93614296074442,1.37789058408411,0.969787066597895,0.685736470317275,0.490400567334916
"hpd","hpd",2655.26679453757,0,0,TRUE,"CV-enriched",7.28945856111676e-06,6.23590153990712,47.0478664884133,66.7383504250875,59.7673600847289,45.7324832059949,33.104764586741,23.598516948827,16.8523048868385,12.1473178917493
"iars2","iars2",20.0109551508256,0,0,TRUE,"CV-enriched",9.1295531052466e-08,0.564141822169956,4.17359565887638,5.71742748672064,4.99452586698749,3.75477997704726,2.68283395811193,1.89350104365818,1.3416435307822,0.960976365102795
"ilvbl","ilvbl",15.1384793944174,0,0,TRUE,"CV-enriched",4.87910828029785e-07,0.550952873199163,3.70898833527633,4.97113359303752,4.30299987821575,3.21865450328489,2.29240230216225,1.61433082177607,1.14194973854689,0.816900944162669
"inafm2","inafm2",11.4149084276276,0,0,TRUE,"CV-enriched",1.1360902504525e-07,0.509574574661448,3.28807177862017,4.27328738472819,3.63850783452988,2.69583793545293,1.90864458666189,1.33876014905555,0.94438322764429,0.67419925213632
"inhbc","inhbc",138.870334726375,0,0,TRUE,"CV-enriched",4.18110708923751e-07,1.51455828445287,10.9793019702572,15.1485589168161,13.3401828343996,10.0955595282714,7.25153008536753,5.139674199721,3.65425211986519,2.62485875084614
"itih4","itih4",1483.87503761988,0,0,TRUE,"CV-enriched",6.28085577463911e-06,4.89218511815598,35.5774272142631,49.8248337978142,44.3558785189695,33.8292719513044,24.4393392863569,17.3984259426262,12.4132085534577,8.94156042408482
"lamp2","lamp2",3434.6280916497,0,0,TRUE,"PN-enriched",5.99476372092672e-06,6.66818864354796,52.8777707374197,75.858391340729,68.1883047150621,52.2519993838584,37.8468212890256,26.9851145338689,19.2719079914183,13.8910539691755
"lpl","lpl",143.899365822203,0,0,TRUE,"CV-enriched",2.60109751282796e-06,1.71672000294193,11.4399309396569,15.3655518033512,13.3450001250992,10.0125909314955,7.14950823904298,5.04546372923452,3.5753991808201,2.56149514127766
"lrrc41","lrrc41",31.8906666029663,0,0,TRUE,"CV-enriched",1.21263984575746e-07,0.692221110931822,5.22289903609854,7.24634098452262,6.38414564592674,4.82853957151241,3.46561153925392,2.4544993894169,1.74396217539256,1.25196407543122
"mcm3ap","mcm3ap",2.97913477394322,0,0,TRUE,"CV-enriched",7.06952063113412e-08,0.264886206155631,1.68681495933778,2.17727856041872,1.84403395818181,1.36050589020291,0.959954747782343,0.671460368939494,0.472570417300087,0.33671979548435
"morc3","morc3",8.06130025078141,0,0,TRUE,"CV-enriched",4.17897388085117e-08,0.348339510380306,2.63945429833325,3.62000277513013,3.15405904978594,2.36399574748976,1.68445732160063,1.18604242260879,0.838673107780859,0.599677967716457
"mug1","mug1",1787.67186859485,0,0,TRUE,"CV-enriched",1.23067086535885e-05,5.64652190610664,39.4494274439302,54.6643913378858,48.4221947003117,36.8203774119169,26.5462872321738,18.8703433872118,13.4480404283362,9.67820577949601
"mug2","mug2",324.414306884745,0,0,TRUE,"CV-enriched",4.79038196388832e-06,2.17938569962317,16.4908830509693,23.2603920532409,20.7173438941321,15.7830371874732,11.3855331665003,8.09371659918912,5.76698846050833,4.14922494435262
"ndrg1","ndrg1",0.815755976840697,0,0,TRUE,"CV-enriched",1.00312282347244e-06,0.235581379003216,0.98357192627034,1.11006074363321,0.88287722145429,0.628247973462843,0.433004915197063,0.297929557132346,0.207139891877769,0.146211988046398
"nt5dc3","nt5dc3",11.0673277958984,0,0,TRUE,"CV-enriched",1.34917856136809e-07,0.492219180726766,3.21716020612711,4.22395247512333,3.61892595524926,2.69210113240509,1.91126204504509,1.34327770739083,0.949000783035443,0.67829352642604
"oat","oat",65.4495894420672,0,0,TRUE,"CV-enriched",5.18630792564326e-06,1.28535322205878,7.87524056223652,10.352337448178,8.90469923884983,6.64450385229932,4.72768653412133,3.32805932412344,2.3540331033546,1.6840822670892
"p4hb","p4hb",3153.07081563535,0,0,TRUE,"CV-enriched",4.01660419066765e-06,6.59134448826701,51.0392675179244,72.620879205077,65.0242591424849,49.7166726097889,35.959141186889,25.6138917848199,18.2794295600167,13.1684425951464
