"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"wnk1",1.55552719155178e-06,1.3264608467691,10.7039856322393,15.5200683341229,14.0335177275098,10.7933125475963,7.83718515441423,5.59796824467385,4.00326199464381,2.8885403112769
"wnt5b",2.71960821026186e-08,0.19299366250239,1.64445809131206,2.44920137520599,2.25648250022423,1.75952335382793,1.29105052502351,0.929757350909041,0.669276817275947,0.485518674911715
"wrap53",1.02684817736947e-09,0.0780383381126776,0.826965996113983,1.29990896607812,1.22036008179789,0.958889038807666,0.705886853500803,0.509023608885477,0.366561835665041,0.265900399127855
"wrap73",6.94791450967844e-09,0.192882091019126,1.80909424179478,2.7466128361464,2.54337360728792,1.98547124395471,1.45656211429225,1.04826781039266,0.753986530199091,0.546527879612768
"wrb",5.36676606185281e-09,0.131264556308511,1.14638706494662,1.68562642570395,1.53419126917552,1.18505484052842,0.863233078990197,0.618129153983892,0.442928996297896,0.320123048619732
"wrn",4.25029389210856e-08,0.214616414418928,1.6927717174896,2.45848636422054,2.23574983438675,1.7288908627811,1.26107701463604,0.904112223644995,0.648527230278763,0.469126407373238
"wrnip1",3.23349290535298e-06,1.55947481947057,12.6251257406117,18.3767403758509,16.6511164894558,12.8222220762382,9.31775524144193,6.65913348611653,4.76400747244895,3.43847487087194
"wsb1",5.26221655070459e-07,0.780930007718839,6.38270385426167,9.37722195718334,8.54716325484933,6.60709224555459,4.81395072261462,3.44692184223302,2.46946945840101,1.78433158084628
"wsb2",8.50150828335843e-08,0.589554864818978,4.87177701660713,7.09770410397144,6.43844521224086,4.96393811397282,3.61125075455099,2.58336874380543,1.84971478450816,1.33601377643077
"wtap",2.92526670132688e-07,0.765824627533782,6.03632071648059,8.73797637189944,7.91801030852921,6.10549560547593,4.44371181332893,3.18050047839629,2.27839036165791,1.64638631899574
"wwc1",1.20006934626291e-06,0.865204885681842,6.52597686156645,9.29558806554056,8.34132046794376,6.38868761082668,4.62681291021366,3.29895238954555,2.35611162083031,1.69837045685592
"wwc2",5.5394880714291e-08,0.415835430594855,3.29858695593833,4.66136721549509,4.14292945396036,3.14890664806597,2.26704312470229,1.6089470809893,1.1448670093448,0.822780290523301
